gene_id	uniprot_acc	uniprot_entry	pident	align_length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	qcovs	quality_tier	description	source
SCF082_s21_g1048	Q8W036	NIP42_ARATH	32.051	156	82	5	31	456	43	188	3.92e-12	70.1	1374	283	57	MEDIUM	Probable aquaporin NIP4-2	SwissProt
SCF082_s60_g2909	Q4ZRL6	CYSG_PSEU2	42.661	218	115	4	1480	2127	255	464	1.33e-39	155	2262	464	29	LOW	Siroheme synthase	SwissProt
SCF082_s77_g3431	O76856	CATD_DICDI	32.174	115	68	4	88	405	234	347	3.99e-08	54.3	420	383	76	LOW	Cathepsin D	SwissProt
SCF082_s92_g3945	P44429	ALF_HAEIN	56.897	348	148	2	349	1389	8	354	6.64e-135	419	3765	359	28	LOW	Fructose-bisphosphate aldolase	SwissProt
SCF082_s93_g3967	P44429	ALF_HAEIN	56.897	348	148	2	349	1389	8	354	1.55e-138	419	2634	359	40	LOW	Fructose-bisphosphate aldolase	SwissProt
SCF082_s150_g5717	Q8H569	AKT3_ORYSJ	21.053	494	336	17	562	1965	30	495	1.43e-11	72.0	2286	907	61	LOW	Potassium channel AKT3	SwissProt
SCF082_s152_g5786	Q3TCX3	KHDC4_MOUSE	33.333	102	67	1	646	948	236	337	4.34e-08	59.3	1320	612	23	LOW	KH homology domain-containing protein 4	SwissProt
SCF082_s159_g5966	Q5XF09	PT311_ARATH	26.752	157	101	3	1	441	156	308	5.21e-11	64.3	630	308	70	LOW	Probable sugar phosphate/phosphate translocator At3g11320	SwissProt
SCF082_s163_g6099	Q7XY82	PSBU_GRIJA	54.945	91	41	0	280	552	63	153	7.75e-32	115	555	153	49	LOW	Photosystem II extrinsic protein U, chloroplastic	SwissProt
SCF082_s176_g6437_i1	O13996	YEI1_SCHPO	30.455	440	254	12	1627	2883	24	432	2.72e-49	187	4365	491	29	LOW	Uncharacterized glycosyl hydrolase C27E2.01	SwissProt
SCF082_s178_g6533	Q96L42	KCNH8_HUMAN	24.259	371	222	14	430	1449	210	552	5.83e-08	60.1	2025	1107	50	LOW	Voltage-gated delayed rectifier potassium channel KCNH8	SwissProt
SCF082_s179_g6544	Q9ST62	NDB1_SOLTU	34.314	612	318	9	262	2070	41	577	2.48e-108	343	2073	577	87	MEDIUM	External alternative NAD(P)H-ubiquinone oxidoreductase B1, mitochondrial	SwissProt
SCF082_s179_g6562	Q96L42	KCNH8_HUMAN	24.259	371	222	15	430	1449	210	552	6.92e-08	60.1	2025	1107	50	LOW	Voltage-gated delayed rectifier potassium channel KCNH8	SwissProt
SCF082_s203_g7223	Q7L1I2	SV2B_HUMAN	29.936	157	95	1	199	624	168	324	4.76e-10	65.5	1308	683	33	LOW	Synaptic vesicle glycoprotein 2B	SwissProt
SCF082_s204_g7242	Q01238	HCC2_CRYCO	70.000	60	18	0	184	363	41	100	4.19e-10	56.2	372	102	48	LOW	Major basic nuclear protein 2	SwissProt
SCF082_s204_g7266	Q7L1I2	SV2B_HUMAN	29.936	157	95	1	1540	1965	168	324	4.68e-10	67.4	2700	683	16	LOW	Synaptic vesicle glycoprotein 2B	SwissProt
SCF082_s206_g7297	Q86B61	TBH1_DROME	30.667	150	94	5	4198	4629	291	436	1.03e-15	86.7	4665	670	9	LOW	Tyramine beta-hydroxylase	SwissProt
SCF082_s223_g7737	O15865	CDPK2_PLAFK	26.852	324	186	13	451	1368	31	321	9.59e-24	109	2373	513	39	LOW	Calcium-dependent protein kinase 2	SwissProt
SCF082_s234_g7964	O88427	CAC1H_MOUSE	24.468	282	171	11	586	1410	781	1027	4.06e-09	63.9	1824	2365	45	LOW	Voltage-dependent T-type calcium channel subunit alpha-1H	SwissProt
SCF082_s246_g8408	Q8L7K0	R18A4_ARATH	53.448	174	80	1	43	561	5	178	6.68e-68	208	567	178	92	HIGH	Large ribosomal subunit protein eL20w	SwissProt
SCF082_s292_g9467	C9D7C2	CAC1A_APIME	23.562	365	218	16	505	1476	880	1224	2.32e-07	58.2	1770	1904	55	LOW	Voltage-dependent calcium channel type A subunit alpha-1	SwissProt
SCF082_s332_g10323_i1	Q7RTR2	NLRC3_HUMAN	37.791	172	106	1	1567	2079	696	867	2.18e-21	105	4566	1065	55	MEDIUM	NLR family CARD domain-containing protein 3	SwissProt
SCF082_s348_g10661	O82318	SKM1_ARATH	24.297	498	298	21	826	2202	77	534	2.77e-08	62.8	4779	960	29	LOW	Leucine-rich repeat receptor-like serine/threonine-protein kinase SKM1	SwissProt
SCF082_s355_g10830	Q68EF4	GRM4_MOUSE	23.373	415	267	15	196	1314	87	492	6.21e-13	77.8	4362	912	26	LOW	Metabotropic glutamate receptor 4	SwissProt
SCF082_s368_g11089	O44001	HSP90_EIMTE	80.892	157	28	1	1	471	559	713	8.43e-61	202	474	713	99	HIGH	Heat shock protein 90	SwissProt
SCF082_s400_g11729	Q3MDW2	CYC6_TRIV2	56.180	89	38	1	223	486	22	110	1.33e-28	105	489	111	54	MEDIUM	Cytochrome c6	SwissProt
SCF082_s434_g12392	Q06967	14336_ORYSJ	66.524	233	76	1	7	699	8	240	1.24e-103	303	717	260	97	HIGH	14-3-3-like protein GF14-F	SwissProt
SCF082_s436_g12437	Q06967	14336_ORYSJ	66.524	233	76	1	7	699	8	240	1.24e-103	303	717	260	97	HIGH	14-3-3-like protein GF14-F	SwissProt
SCF082_s489_g13617	Q24K02	IDE_BOVIN	28.432	925	619	13	94	2850	55	942	3.48e-113	377	2994	1019	92	LOW	Insulin-degrading enzyme	SwissProt
SCF082_s490_g13663	Q9NZT1	CALL5_HUMAN	34.091	132	77	5	220	600	15	141	1.62e-07	55.5	3648	146	10	LOW	Calmodulin-like protein 5	SwissProt
SCF082_s491_g13687	P33727	ARSB_FELCA	27.586	580	306	20	103	1776	48	535	1.78e-44	171	2085	535	80	LOW	Arylsulfatase B	SwissProt
SCF082_s495_g13790	O65390	APA1_ARATH	27.304	293	139	12	136	930	85	331	1.71e-13	75.9	1263	506	63	LOW	Aspartic proteinase A1	SwissProt
SCF082_s513_g14125	Q75JF3	CLCC_DICDI	37.853	177	101	3	385	903	141	312	5.52e-09	63.9	2736	757	19	LOW	Chloride channel protein C	SwissProt
SCF082_s534_g14519	Q9M9G6	CTF64_ARATH	55.128	78	35	0	43	276	11	88	8.60e-21	99.0	1668	461	14	LOW	Cleavage stimulating factor 64	SwissProt
