date,tod,year,experiment,season,mesocosm,type,treatment,temp,sal_cor,do_perc,do_mg,ph_nbs,pH_total,tit temp,TA_seacarb
7/11/2023,day,2,8,smr,NA,in,lta.co2,NA,NA,NA,NA,NA,NA,25.3,2110.3
7/11/2023,day,2,8,smr,1,out,lta.co2,26.4,34.88,110.2,7.33,7.74,7.72,25.2,2083.1
7/11/2023,day,2,8,smr,2,out,lta.co2,26.2,34.94,109.9,7.33,7.72,7.69,24.5,2106.8
7/11/2023,day,2,8,smr,3,out,lta.co2,26.2,34.94,109.3,7.28,7.76,7.75,24,2079.1
7/11/2023,day,2,8,smr,NA,in,co2,NA,NA,NA,NA,NA,NA,25,2194.8
7/11/2023,day,2,8,smr,4,out,co2,26.2,34.93,110.6,7.36,7.74,7.71,25,2164.3
7/11/2023,day,2,8,smr,5,out,co2,26.1,34.93,109.2,7.28,7.77,7.76,25,2150
7/11/2023,day,2,8,smr,6,out,co2,26,34.93,110.2,7.34,7.83,7.82,25,2165.6
7/11/2023,day,2,8,smr,NA,in,lta,NA,NA,NA,NA,NA,NA,25,2092
7/11/2023,day,2,8,smr,7,out,lta,26.3,34.91,111.7,7.46,7.9,7.88,24.9,2058.5
7/11/2023,day,2,8,smr,8,out,lta,26.1,34.92,110.2,7.34,7.91,7.89,24.3,2083.8
7/11/2023,day,2,8,smr,9,out,lta,26.3,34.92,108.8,7.25,7.92,7.9,24.6,2052.6
7/11/2023,day,2,8,smr,NA,in,c,NA,NA,NA,NA,NA,NA,25,2202
7/11/2023,day,2,8,smr,10,out,c,26.2,34.9,106.6,7.27,8.03,8.02,25,2171.8
7/11/2023,day,2,8,smr,11,out,c,26.3,34.93,111.7,7.42,8.03,8.01,25,2166.7
7/11/2023,day,2,8,smr,12,out,c,26.3,34.91,110.4,7.37,8.05,8.03,25,2141.7
7/17/2023,day,2,8,smr,NA,in,lta.co2,NA,NA,NA,NA,NA,NA,25.9,2129.7
7/17/2023,day,2,8,smr,1,out,lta.co2,27.2,35.08,7.95,121.6,7.71,NA,24.3,2093.5
7/17/2023,day,2,8,smr,2,out,lta.co2,27,34.91,7.31,111.4,7.75,NA,25.7,2101.6
7/17/2023,day,2,8,smr,3,out,lta.co2,26.9,34.93,7.45,113.4,7.77,NA,24.9,2104.8
7/17/2023,day,2,8,smr,NA,in,co2,NA,NA,NA,NA,NA,NA,25.9,2203.9
7/17/2023,day,2,8,smr,4,out,co2,27.2,34.94,7.66,117.1,7.85,NA,24.4,2186
7/17/2023,day,2,8,smr,5,out,co2,27.1,34.9,7.57,115.5,7.77,NA,25.7,2183.4
7/17/2023,day,2,8,smr,6,out,co2,27.1,34.89,7.38,112.6,7.7,NA,24.9,2180.7
7/17/2023,day,2,8,smr,NA,in,lta,NA,NA,NA,NA,NA,NA,25.2,2121.2
7/17/2023,day,2,8,smr,7,out,lta,27,34.9,7.53,114.7,7.93,NA,25.3,2082.2
7/17/2023,day,2,8,smr,8,out,lta,27.2,34.93,7.59,115.9,7.97,NA,25.5,2068.4
7/17/2023,day,2,8,smr,9,out,lta,27.2,34.92,7.45,113.9,7.98,NA,25.8,2105.1
7/17/2023,day,2,8,smr,NA,in,c,NA,NA,NA,NA,NA,NA,25.2,2217.2
7/17/2023,day,2,8,smr,10,out,c,27.1,34.95,7.71,118.1,8.09,NA,25.7,2182.4
7/17/2023,day,2,8,smr,11,out,c,27.1,34.91,7.63,116.4,8.08,NA,25.5,2181.7
7/17/2023,day,2,8,smr,12,out,c,27.1,34.91,7.55,115.7,8.1,NA,25.8,2182.2
7/18/2023,day,2,8,smr,NA,in,lta.co2,NA,NA,NA,NA,NA,NA,NA,NA
7/18/2023,day,2,8,smr,1,out,lta.co2,26.5,34.92,116.6,7.68,7.72,7.7,NA,NA
7/18/2023,day,2,8,smr,2,out,lta.co2,26.5,34.91,116.7,7.72,7.81,7.79,NA,NA
7/18/2023,day,2,8,smr,3,out,lta.co2,26.6,34.92,116.4,7.71,7.81,7.79,NA,NA
7/18/2023,day,2,8,smr,NA,in,co2,NA,NA,NA,NA,NA,NA,NA,NA
7/18/2023,day,2,8,smr,4,out,co2,26.7,34.93,115.4,7.62,7.82,7.8,NA,NA
7/18/2023,day,2,8,smr,5,out,co2,26.7,34.92,117,7.73,7.78,7.77,NA,NA
7/18/2023,day,2,8,smr,6,out,co2,26.7,34.91,118.9,7.85,7.8,7.78,NA,NA
7/18/2023,day,2,8,smr,NA,in,lta,NA,NA,NA,NA,NA,NA,NA,NA
7/18/2023,day,2,8,smr,7,out,lta,26.8,34.91,119.5,7.87,7.94,7.92,NA,NA
7/18/2023,day,2,8,smr,8,out,lta,26.8,34.92,117.5,7.75,7.96,7.95,NA,NA
7/18/2023,day,2,8,smr,9,out,lta,26.8,34.95,117.7,7.76,7.98,7.96,NA,NA
7/18/2023,day,2,8,smr,NA,in,c,NA,NA,NA,NA,NA,NA,NA,NA
7/18/2023,day,2,8,smr,10,out,c,26.8,34.94,119.5,7.88,8.09,8.07,NA,NA
7/18/2023,day,2,8,smr,11,out,c,26.8,34.94,120.7,7.96,8.1,8.08,NA,NA
7/18/2023,day,2,8,smr,12,out,c,26.8,34.94,123.5,8.14,8.12,8.1,NA,NA
7/19/2023,day,2,8,smr,NA,in,lta.co2,NA,NA,NA,NA,NA,NA,NA,NA
7/19/2023,day,2,8,smr,1,out,lta.co2,26.3,34.88,112.3,7.47,7.68,7.66,NA,NA
7/19/2023,day,2,8,smr,2,out,lta.co2,26.4,34.9,112,7.44,7.77,7.75,NA,NA
7/19/2023,day,2,8,smr,3,out,lta.co2,26.3,34.91,112.1,7.45,7.77,7.75,NA,NA
7/19/2023,day,2,8,smr,NA,in,co2,NA,NA,NA,NA,NA,NA,NA,NA
7/19/2023,day,2,8,smr,4,out,co2,26.4,34.9,111.8,7.42,7.77,7.77,NA,NA
7/19/2023,day,2,8,smr,5,out,co2,26.4,34.91,112.6,7.47,7.76,7.73,NA,NA
7/19/2023,day,2,8,smr,6,out,co2,26.4,34.94,114.1,7.57,7.76,7.74,NA,NA
7/19/2023,day,2,8,smr,NA,in,lta,NA,NA,NA,NA,NA,NA,NA,NA
7/19/2023,day,2,8,smr,7,out,lta,26.5,34.94,116.1,7.69,7.9,7.88,NA,NA
7/19/2023,day,2,8,smr,8,out,lta,26.5,34.96,114.8,7.61,7.93,7.91,NA,NA
7/19/2023,day,2,8,smr,9,out,lta,26.5,34.97,114.8,7.6,7.94,7.92,NA,NA
7/19/2023,day,2,8,smr,NA,in,c,NA,NA,NA,NA,NA,NA,NA,NA
7/19/2023,day,2,8,smr,10,out,c,26.5,34.98,115.8,7.67,8.06,8.04,NA,NA
7/19/2023,day,2,8,smr,11,out,c,26.5,34.97,116.9,7.75,8.07,8.06,NA,NA
7/19/2023,day,2,8,smr,12,out,c,26.5,35,118.9,7.88,8.08,8.06,NA,NA
7/20/2023,day,2,8,smr,NA,in,lta.co2,NA,NA,NA,NA,NA,NA,NA,NA
7/20/2023,day,2,8,smr,1,out,lta.co2,26.4,34.85,119.7,7.96,7.82,7.8,NA,NA
7/20/2023,day,2,8,smr,2,out,lta.co2,26.5,35.19,117.7,7.81,7.82,7.8,NA,NA
7/20/2023,day,2,8,smr,3,out,lta.co2,26.5,35.09,118.1,7.83,7.81,7.79,NA,NA
7/20/2023,day,2,8,smr,NA,in,co2,NA,NA,NA,NA,NA,NA,NA,NA
7/20/2023,day,2,8,smr,4,out,co2,26.7,35.46,117.3,7.76,7.83,7.82,NA,NA
7/20/2023,day,2,8,smr,5,out,co2,26.6,35.1,118.6,7.86,7.81,7.79,NA,NA
7/20/2023,day,2,8,smr,6,out,co2,26.6,35.04,120.2,7.95,7.8,7.79,NA,NA
7/20/2023,day,2,8,smr,NA,in,lta,NA,NA,NA,NA,NA,NA,NA,NA
7/20/2023,day,2,8,smr,7,out,lta,26.8,35.06,120.8,7.98,7.95,7.94,NA,NA
7/20/2023,day,2,8,smr,8,out,lta,26.7,34.96,117.3,7.75,7.97,7.96,NA,NA
7/20/2023,day,2,8,smr,9,out,lta,26.7,35.02,116,7.66,7.98,7.96,NA,NA
7/20/2023,day,2,8,smr,NA,in,c,NA,NA,NA,NA,NA,NA,NA,NA
7/20/2023,day,2,8,smr,10,out,c,26.7,35.01,134.5,8.91,8.07,8.06,NA,NA
7/20/2023,day,2,8,smr,11,out,c,26.7,35.01,119,7.87,8.09,8.08,NA,NA
7/20/2023,day,2,8,smr,12,out,c,26.7,35.58,117.5,7.77,8.1,8.08,NA,NA
7/21/2023,day,2,8,smr,NA,in,lta.co2,NA,NA,NA,NA,NA,NA,NA,NA
7/21/2023,day,2,8,smr,1,out,lta.co2,26.5,34.92,117.1,7.76,7.8,7.78,NA,NA
7/21/2023,day,2,8,smr,2,out,lta.co2,26.5,34.93,114.3,7.58,7.78,7.76,NA,NA
7/21/2023,day,2,8,smr,3,out,lta.co2,26.5,34.93,115.3,7.65,7.8,7.78,NA,NA
7/21/2023,day,2,8,smr,NA,in,co2,NA,NA,NA,NA,NA,NA,NA,NA
7/21/2023,day,2,8,smr,4,out,co2,26.6,34.88,115.5,7.65,7.82,7.8,NA,NA
7/21/2023,day,2,8,smr,5,out,co2,26.6,34.9,116.5,7.72,7.78,7.76,NA,NA
7/21/2023,day,2,8,smr,6,out,co2,26.6,34.9,115.2,7.63,7.76,7.74,NA,NA
7/21/2023,day,2,8,smr,NA,in,lta,NA,NA,NA,NA,NA,NA,NA,NA
7/21/2023,day,2,8,smr,7,out,lta,26.6,34.89,119.8,7.94,7.95,7.94,NA,NA
7/21/2023,day,2,8,smr,8,out,lta,26.6,34.89,116.5,7.71,7.97,7.96,NA,NA
7/21/2023,day,2,8,smr,9,out,lta,26.7,34.88,116.9,7.74,7.94,7.97,NA,NA
7/21/2023,day,2,8,smr,NA,in,c,NA,NA,NA,NA,NA,NA,NA,NA
7/21/2023,day,2,8,smr,10,out,c,26.5,34.87,113.6,7.54,8.09,8.07,NA,NA
7/21/2023,day,2,8,smr,11,out,c,26.6,34.85,118.4,7.84,8.09,8.08,NA,NA
7/21/2023,day,2,8,smr,12,out,c,26.7,34.86,117.1,7.75,8.1,8.08,NA,NA
7/23/2023,day,2,8,smr,NA,in,lta.co2,NA,NA,NA,NA,NA,NA,NA,NA
7/23/2023,day,2,8,smr,1,out,lta.co2,27.3,34.88,122.1,7.99,7.83,7.82,NA,NA
7/23/2023,day,2,8,smr,2,out,lta.co2,27.4,34.88,117.5,7.69,7.8,7.78,NA,NA
7/23/2023,day,2,8,smr,3,out,lta.co2,27.3,34.88,119.2,7.81,7.85,7.84,NA,NA
7/23/2023,day,2,8,smr,NA,in,co2,NA,NA,NA,NA,NA,NA,NA,NA
7/23/2023,day,2,8,smr,4,out,co2,27.4,34.84,120.6,7.88,7.83,7.81,NA,NA
7/23/2023,day,2,8,smr,5,out,co2,27.4,34.85,121.3,7.93,7.77,7.75,NA,NA
7/23/2023,day,2,8,smr,6,out,co2,27.5,34.85,122,7.98,7.74,7.75,NA,NA
7/23/2023,day,2,8,smr,NA,in,lta,NA,NA,NA,NA,NA,NA,NA,NA
7/23/2023,day,2,8,smr,7,out,lta,27.4,34.83,124.2,8.14,7.99,7.98,NA,NA
7/23/2023,day,2,8,smr,8,out,lta,27.5,34.85,121,7.9,8.02,8,NA,NA
7/23/2023,day,2,8,smr,9,out,lta,27.6,34.86,121.5,7.93,8.02,8.01,NA,NA
7/23/2023,day,2,8,smr,NA,in,c,NA,NA,NA,NA,NA,NA,NA,NA
7/23/2023,day,2,8,smr,10,out,c,27.4,34.86,121.6,7.95,8.13,7.98,NA,NA
